DISTRITO,Número de accidentes
ARGANZUELA                    ,33
CENTRO                        ,124
LATINA                        ,35
VILLA DE VALLECAS             ,15
FUENCARRAL-EL PARDO           ,33
SAN BLAS                      ,24
CHAMBERI                      ,51
MONCLOA-ARAVACA               ,51
CARABANCHEL                   ,36
TETUAN                        ,34
PUENTE DE VALLECAS            ,29
RETIRO                        ,52
SALAMANCA                     ,48
CHAMARTIN                     ,26
USERA                         ,18
BARAJAS                       ,8
VILLAVERDE                    ,12
MORATALAZ                     ,13
HORTALEZA                     ,22
VICALVARO                     ,10
CIUDAD LINEAL                 ,26
